r0(um)	R0(um)	Xu	H0(Gs)	b(um)	CatchingRadius(um)
0,01	0,1	1e-07	3500	0,1	0,10800000000000001	
0,01	0,1	1e-07	7000	0,1	0,10800000000000001	
0,02	0,1	1e-07	3500	0,1	0,10800000000000001	
0,02	0,1	1e-07	7000	0,1	0,10800000000000001	
0,03	0,1	1e-07	3500	0,1	0,10800000000000001	
0,03	0,1	1e-07	7000	0,1	0,10800000000000001	
0,04	0,1	1e-07	3500	0,1	0,10800000000000001	
0,04	0,1	1e-07	7000	0,1	0,10800000000000001	
0,05	0,1	1e-07	3500	0,1	0,10800000000000001	
0,05	0,1	1e-07	7000	0,1	0,10800000000000001	
0,06	0,1	1e-07	3500	0,1	0,10800000000000001	
0,06	0,1	1e-07	7000	0,1	0,10800000000000001	
0,07	0,1	1e-07	3500	0,1	0,10800000000000001	
0,07	0,1	1e-07	7000	0,1	0,10800000000000001	
0,08	0,1	1e-07	3500	0,1	0,10800000000000001	
0,08	0,1	1e-07	7000	0,1	0,10800000000000001	
0,09	0,1	1e-07	3500	0,1	0,10800000000000001	
0,09	0,1	1e-07	7000	0,1	0,10800000000000001	
0,01	0,2	1e-07	3500	0,1	0,21600000000000003	
0,01	0,2	1e-07	7000	0,1	0,21600000000000003	
0,02	0,2	1e-07	3500	0,1	0,21600000000000003	
0,02	0,2	1e-07	7000	0,1	0,21600000000000003	
0,03	0,2	1e-07	3500	0,1	0,21600000000000003	
0,03	0,2	1e-07	7000	0,1	0,21600000000000003	
0,04	0,2	1e-07	3500	0,1	0,21600000000000003	
0,04	0,2	1e-07	7000	0,1	0,21600000000000003	
0,05	0,2	1e-07	3500	0,1	0,21600000000000003	
0,05	0,2	1e-07	7000	0,1	0,21600000000000003	
0,06	0,2	1e-07	3500	0,1	0,21600000000000003	
0,06	0,2	1e-07	7000	0,1	0,21600000000000003	
0,07	0,2	1e-07	3500	0,1	0,21600000000000003	
0,07	0,2	1e-07	7000	0,1	0,21600000000000003	
0,08	0,2	1e-07	3500	0,1	0,21600000000000003	
0,08	0,2	1e-07	7000	0,1	0,21600000000000003	
0,09	0,2	1e-07	3500	0,1	0,21600000000000003	
0,09	0,2	1e-07	7000	0,1	0,21600000000000003	
0,01	0,30000000000000004	1e-07	3500	0,1	0,32400000000000007	
0,01	0,30000000000000004	1e-07	7000	0,1	0,32400000000000007	
0,02	0,30000000000000004	1e-07	3500	0,1	0,32400000000000007	
0,02	0,30000000000000004	1e-07	7000	0,1	0,32400000000000007	
0,03	0,30000000000000004	1e-07	3500	0,1	0,32400000000000007	
0,03	0,30000000000000004	1e-07	7000	0,1	0,32400000000000007	
0,04	0,30000000000000004	1e-07	3500	0,1	0,32400000000000007	
0,04	0,30000000000000004	1e-07	7000	0,1	0,32400000000000007	
0,05	0,30000000000000004	1e-07	3500	0,1	0,32400000000000007	
0,05	0,30000000000000004	1e-07	7000	0,1	0,32400000000000007	
0,06	0,30000000000000004	1e-07	3500	0,1	0,32400000000000007	
0,06	0,30000000000000004	1e-07	7000	0,1	0,32400000000000007	
0,07	0,30000000000000004	1e-07	3500	0,1	0,32400000000000007	
0,07	0,30000000000000004	1e-07	7000	0,1	0,32400000000000007	
0,08	0,30000000000000004	1e-07	3500	0,1	0,32400000000000007	
0,08	0,30000000000000004	1e-07	7000	0,1	0,32400000000000007	
0,09	0,30000000000000004	1e-07	3500	0,1	0,32400000000000007	
0,09	0,30000000000000004	1e-07	7000	0,1	0,32400000000000007	
0,01	0,4	1e-07	3500	0,1	0,43200000000000005	
0,01	0,4	1e-07	7000	0,1	0,43200000000000005	
0,02	0,4	1e-07	3500	0,1	0,43200000000000005	
0,02	0,4	1e-07	7000	0,1	0,43200000000000005	
0,03	0,4	1e-07	3500	0,1	0,43200000000000005	
0,03	0,4	1e-07	7000	0,1	0,43200000000000005	
0,04	0,4	1e-07	3500	0,1	0,43200000000000005	
0,04	0,4	1e-07	7000	0,1	0,43200000000000005	
0,05	0,4	1e-07	3500	0,1	0,43200000000000005	
0,05	0,4	1e-07	7000	0,1	0,43200000000000005	
0,06	0,4	1e-07	3500	0,1	0,43200000000000005	
0,06	0,4	1e-07	7000	0,1	0,43200000000000005	
0,07	0,4	1e-07	3500	0,1	0,43200000000000005	
0,07	0,4	1e-07	7000	0,1	0,43200000000000005	
0,08	0,4	1e-07	3500	0,1	0,43200000000000005	
0,08	0,4	1e-07	7000	0,1	0,43200000000000005	
0,09	0,4	1e-07	3500	0,1	0,43200000000000005	
0,09	0,4	1e-07	7000	0,1	0,43200000000000005	
0,01	0,5	1e-07	3500	0,1	0,54	
0,01	0,5	1e-07	7000	0,1	0,54	
0,02	0,5	1e-07	3500	0,1	0,54	
0,02	0,5	1e-07	7000	0,1	0,54	
0,03	0,5	1e-07	3500	0,1	0,54	
0,03	0,5	1e-07	7000	0,1	0,54	
0,04	0,5	1e-07	3500	0,1	0,54	
0,04	0,5	1e-07	7000	0,1	0,54	
0,05	0,5	1e-07	3500	0,1	0,54	
0,05	0,5	1e-07	7000	0,1	0,54	
0,06	0,5	1e-07	3500	0,1	0,54	
0,06	0,5	1e-07	7000	0,1	0,54	
0,07	0,5	1e-07	3500	0,1	0,54	
0,07	0,5	1e-07	7000	0,1	0,54	
0,08	0,5	1e-07	3500	0,1	0,54	
0,08	0,5	1e-07	7000	0,1	0,54	
0,09	0,5	1e-07	3500	0,1	0,54	
0,09	0,5	1e-07	7000	0,1	0,54	
0,01	0,6000000000000001	1e-07	3500	0,1	0,6480000000000001	
0,01	0,6000000000000001	1e-07	7000	0,1	0,6480000000000001	
0,02	0,6000000000000001	1e-07	3500	0,1	0,6480000000000001	
0,02	0,6000000000000001	1e-07	7000	0,1	0,6480000000000001	
0,03	0,6000000000000001	1e-07	3500	0,1	0,6480000000000001	
0,03	0,6000000000000001	1e-07	7000	0,1	0,6480000000000001	
0,04	0,6000000000000001	1e-07	3500	0,1	0,6480000000000001	
0,04	0,6000000000000001	1e-07	7000	0,1	0,6480000000000001	
0,05	0,6000000000000001	1e-07	3500	0,1	0,6480000000000001	
0,05	0,6000000000000001	1e-07	7000	0,1	0,6480000000000001	
0,06	0,6000000000000001	1e-07	3500	0,1	0,6480000000000001	
0,06	0,6000000000000001	1e-07	7000	0,1	0,6480000000000001	
0,07	0,6000000000000001	1e-07	3500	0,1	0,6480000000000001	
0,07	0,6000000000000001	1e-07	7000	0,1	0,6480000000000001	
0,08	0,6000000000000001	1e-07	3500	0,1	0,6480000000000001	
0,08	0,6000000000000001	1e-07	7000	0,1	0,6480000000000001	
0,09	0,6000000000000001	1e-07	3500	0,1	0,6480000000000001	
0,09	0,6000000000000001	1e-07	7000	0,1	0,6480000000000001	
0,01	0,7000000000000001	1e-07	3500	0,1	0,7560000000000001	
0,01	0,7000000000000001	1e-07	7000	0,1	0,7560000000000001	
0,02	0,7000000000000001	1e-07	3500	0,1	0,7560000000000001	
0,02	0,7000000000000001	1e-07	7000	0,1	0,7560000000000001	
0,03	0,7000000000000001	1e-07	3500	0,1	0,7560000000000001	
0,03	0,7000000000000001	1e-07	7000	0,1	0,7560000000000001	
0,04	0,7000000000000001	1e-07	3500	0,1	0,7560000000000001	
0,04	0,7000000000000001	1e-07	7000	0,1	0,7560000000000001	
0,05	0,7000000000000001	1e-07	3500	0,1	0,7560000000000001	
0,05	0,7000000000000001	1e-07	7000	0,1	0,7560000000000001	
0,06	0,7000000000000001	1e-07	3500	0,1	0,7560000000000001	
0,06	0,7000000000000001	1e-07	7000	0,1	0,7560000000000001	
0,07	0,7000000000000001	1e-07	3500	0,1	0,7560000000000001	
0,07	0,7000000000000001	1e-07	7000	0,1	0,7560000000000001	
0,08	0,7000000000000001	1e-07	3500	0,1	0,7560000000000001	
0,08	0,7000000000000001	1e-07	7000	0,1	0,7560000000000001	
0,09	0,7000000000000001	1e-07	3500	0,1	0,7560000000000001	
0,09	0,7000000000000001	1e-07	7000	0,1	0,7560000000000001	
0,01	0,8	1e-07	3500	0,1	0,8640000000000001	
0,01	0,8	1e-07	7000	0,1	0,8640000000000001	
0,02	0,8	1e-07	3500	0,1	0,8640000000000001	
0,02	0,8	1e-07	7000	0,1	0,8640000000000001	
0,03	0,8	1e-07	3500	0,1	0,8640000000000001	
0,03	0,8	1e-07	7000	0,1	0,8640000000000001	
0,04	0,8	1e-07	3500	0,1	0,8640000000000001	
0,04	0,8	1e-07	7000	0,1	0,8640000000000001	
0,05	0,8	1e-07	3500	0,1	0,8640000000000001	
0,05	0,8	1e-07	7000	0,1	0,8640000000000001	
0,06	0,8	1e-07	3500	0,1	0,8640000000000001	
0,06	0,8	1e-07	7000	0,1	0,8640000000000001	
0,07	0,8	1e-07	3500	0,1	0,8640000000000001	
0,07	0,8	1e-07	7000	0,1	0,8640000000000001	
0,08	0,8	1e-07	3500	0,1	0,8640000000000001	
0,08	0,8	1e-07	7000	0,1	0,8640000000000001	
0,09	0,8	1e-07	3500	0,1	0,8640000000000001	
0,09	0,8	1e-07	7000	0,1	0,8640000000000001	
0,01	0,9	1e-07	3500	0,1	0,9720000000000001	
0,01	0,9	1e-07	7000	0,1	0,9720000000000001	
0,02	0,9	1e-07	3500	0,1	0,9720000000000001	
0,02	0,9	1e-07	7000	0,1	0,9720000000000001	
0,03	0,9	1e-07	3500	0,1	0,9720000000000001	
0,03	0,9	1e-07	7000	0,1	0,9720000000000001	
0,04	0,9	1e-07	3500	0,1	0,9720000000000001	
0,04	0,9	1e-07	7000	0,1	0,9720000000000001	
0,05	0,9	1e-07	3500	0,1	0,9720000000000001	
0,05	0,9	1e-07	7000	0,1	0,9720000000000001	
0,06	0,9	1e-07	3500	0,1	0,9720000000000001	
0,06	0,9	1e-07	7000	0,1	0,9720000000000001	
0,07	0,9	1e-07	3500	0,1	0,9720000000000001	
0,07	0,9	1e-07	7000	0,1	0,9720000000000001	
0,08	0,9	1e-07	3500	0,1	0,9720000000000001	
0,08	0,9	1e-07	7000	0,1	0,9720000000000001	
0,09	0,9	1e-07	3500	0,1	0,9720000000000001	
0,09	0,9	1e-07	7000	0,1	0,9720000000000001	
