r0(um)	R0(um)	Xu	H0(Gs)	b(um)	CatchingRadius(um)
0,01	0,4	0,01	7000	0,1	2,168	
0,02	0,4	0,01	3500	0,1	1,62	
0,02	0,4	0,01	7000	0,1	2,168	
0,03	0,4	0,01	3500	0,1	1,62	
0,03	0,4	0,01	7000	0,1	2,168	
0,04	0,4	0,01	3500	0,1	1,62	
0,04	0,4	0,01	7000	0,1	2,168	
0,05	0,4	0,01	3500	0,1	1,62	
0,05	0,4	0,01	7000	0,1	2,168	
0,06	0,4	0,01	3500	0,1	1,62	
0,06	0,4	0,01	7000	0,1	2,168	
0,07	0,4	0,01	3500	0,1	1,62	
0,07	0,4	0,01	7000	0,1	2,168	
0,08	0,4	0,01	3500	0,1	1,62	
0,08	0,4	0,01	7000	0,1	2,168	
0,09	0,4	0,01	3500	0,1	1,62	
0,09	0,4	0,01	7000	0,1	2,168	
0,01	0,5	0,01	3500	0,1	2,025	
0,01	0,5	0,01	7000	0,1	2,345	
0,02	0,5	0,01	3500	0,1	2,025	
0,02	0,5	0,01	7000	0,1	2,345	
0,03	0,5	0,01	3500	0,1	2,025	
0,03	0,5	0,01	7000	0,1	2,345	
0,04	0,5	0,01	3500	0,1	2,025	
0,04	0,5	0,01	7000	0,1	2,345	
0,05	0,5	0,01	3500	0,1	2,025	
0,05	0,5	0,01	7000	0,1	2,345	
0,06	0,5	0,01	3500	0,1	2,025	
0,06	0,5	0,01	7000	0,1	2,345	
0,07	0,5	0,01	3500	0,1	2,025	
0,07	0,5	0,01	7000	0,1	2,345	
0,08	0,5	0,01	3500	0,1	2,025	
0,08	0,5	0,01	7000	0,1	2,345	
0,09	0,5	0,01	3500	0,1	2,025	
0,09	0,5	0,01	7000	0,1	2,345	
0,01	0,6000000000000001	0,01	3500	0,1	2,43	
0,01	0,6000000000000001	0,01	7000	0,1	2,8140000000000005	
0,02	0,6000000000000001	0,01	3500	0,1	2,43	
0,02	0,6000000000000001	0,01	7000	0,1	2,8140000000000005	
0,03	0,6000000000000001	0,01	3500	0,1	2,43	
0,03	0,6000000000000001	0,01	7000	0,1	2,8140000000000005	
0,04	0,6000000000000001	0,01	3500	0,1	2,43	
0,04	0,6000000000000001	0,01	7000	0,1	2,8140000000000005	
0,05	0,6000000000000001	0,01	3500	0,1	2,43	
0,05	0,6000000000000001	0,01	7000	0,1	2,8140000000000005	
0,06	0,6000000000000001	0,01	3500	0,1	2,43	
0,06	0,6000000000000001	0,01	7000	0,1	2,8140000000000005	
0,07	0,6000000000000001	0,01	3500	0,1	2,43	
0,07	0,6000000000000001	0,01	7000	0,1	2,8140000000000005	
0,08	0,6000000000000001	0,01	3500	0,1	2,43	
0,08	0,6000000000000001	0,01	7000	0,1	2,8140000000000005	
0,09	0,6000000000000001	0,01	3500	0,1	2,43	
0,09	0,6000000000000001	0,01	7000	0,1	2,8140000000000005	
0,01	0,7000000000000001	0,01	3500	0,1	2,835	
0,01	0,7000000000000001	0,01	7000	0,1	2,835	
0,02	0,7000000000000001	0,01	3500	0,1	2,835	
0,02	0,7000000000000001	0,01	7000	0,1	2,835	
0,03	0,7000000000000001	0,01	3500	0,1	2,835	
0,03	0,7000000000000001	0,01	7000	0,1	2,835	
0,04	0,7000000000000001	0,01	3500	0,1	2,835	
0,04	0,7000000000000001	0,01	7000	0,1	2,835	
0,05	0,7000000000000001	0,01	3500	0,1	2,835	
0,05	0,7000000000000001	0,01	7000	0,1	2,835	
0,06	0,7000000000000001	0,01	3500	0,1	2,835	
0,06	0,7000000000000001	0,01	7000	0,1	2,835	
0,07	0,7000000000000001	0,01	3500	0,1	2,835	
0,07	0,7000000000000001	0,01	7000	0,1	2,835	
0,08	0,7000000000000001	0,01	3500	0,1	2,835	
0,08	0,7000000000000001	0,01	7000	0,1	2,835	
0,09	0,7000000000000001	0,01	3500	0,1	2,835	
0,09	0,7000000000000001	0,01	7000	0,1	2,835	
0,01	0,8	0,01	3500	0,1	2,8000000000000003	
0,01	0,8	0,01	7000	0,1	3,24	
0,02	0,8	0,01	3500	0,1	2,8000000000000003	
0,02	0,8	0,01	7000	0,1	3,24	
0,03	0,8	0,01	3500	0,1	2,8000000000000003	
0,03	0,8	0,01	7000	0,1	3,24	
0,04	0,8	0,01	3500	0,1	2,8000000000000003	
0,04	0,8	0,01	7000	0,1	3,24	
0,05	0,8	0,01	3500	0,1	2,8000000000000003	
0,05	0,8	0,01	7000	0,1	3,24	
0,06	0,8	0,01	3500	0,1	2,8000000000000003	
0,06	0,8	0,01	7000	0,1	3,24	
0,07	0,8	0,01	3500	0,1	2,8000000000000003	
0,07	0,8	0,01	7000	0,1	3,24	
0,08	0,8	0,01	3500	0,1	2,8000000000000003	
0,08	0,8	0,01	7000	0,1	3,24	
0,09	0,8	0,01	3500	0,1	2,8000000000000003	
0,09	0,8	0,01	7000	0,1	3,24	
0,01	0,9	0,01	3500	0,1	3,15	
0,01	0,9	0,01	7000	0,1	3,645	
0,02	0,9	0,01	3500	0,1	3,15	
0,02	0,9	0,01	7000	0,1	3,645	
0,03	0,9	0,01	3500	0,1	3,15	
0,03	0,9	0,01	7000	0,1	3,645	
0,04	0,9	0,01	3500	0,1	3,15	
0,04	0,9	0,01	7000	0,1	3,645	
0,05	0,9	0,01	3500	0,1	3,15	
0,05	0,9	0,01	7000	0,1	3,645	
0,06	0,9	0,01	3500	0,1	3,15	
0,06	0,9	0,01	7000	0,1	3,645	
0,07	0,9	0,01	3500	0,1	3,15	
0,07	0,9	0,01	7000	0,1	3,645	
0,08	0,9	0,01	3500	0,1	3,15	
0,08	0,9	0,01	7000	0,1	3,645	
0,09	0,9	0,01	3500	0,1	3,15	
0,09	0,9	0,01	7000	0,1	3,645	
0,01	0,1	0,001	3500	0,1	0,35000000000000003	
0,01	0,1	0,001	7000	0,1	0,405	
0,02	0,1	0,001	3500	0,1	0,35000000000000003	
0,02	0,1	0,001	7000	0,1	0,405	
0,03	0,1	0,001	3500	0,1	0,35000000000000003	
0,03	0,1	0,001	7000	0,1	0,405	
0,04	0,1	0,001	3500	0,1	0,35000000000000003	
0,04	0,1	0,001	7000	0,1	0,405	
0,05	0,1	0,001	3500	0,1	0,35000000000000003	
0,05	0,1	0,001	7000	0,1	0,405	
0,06	0,1	0,001	3500	0,1	0,35000000000000003	
0,06	0,1	0,001	7000	0,1	0,405	
0,07	0,1	0,001	3500	0,1	0,35000000000000003	
0,07	0,1	0,001	7000	0,1	0,405	
0,08	0,1	0,001	3500	0,1	0,35000000000000003	
0,08	0,1	0,001	7000	0,1	0,405	
0,09	0,1	0,001	3500	0,1	0,35000000000000003	
0,09	0,1	0,001	7000	0,1	0,405	
0,01	0,2	0,001	3500	0,1	0,6040000000000001	
0,01	0,2	0,001	7000	0,1	0,6040000000000001	
0,02	0,2	0,001	3500	0,1	0,6040000000000001	
0,02	0,2	0,001	7000	0,1	0,6040000000000001	
0,03	0,2	0,001	3500	0,1	0,6040000000000001	
0,03	0,2	0,001	7000	0,1	0,6040000000000001	
0,04	0,2	0,001	3500	0,1	0,6040000000000001	
0,04	0,2	0,001	7000	0,1	0,6040000000000001	
0,05	0,2	0,001	3500	0,1	0,6040000000000001	
0,05	0,2	0,001	7000	0,1	0,6040000000000001	
0,06	0,2	0,001	3500	0,1	0,6040000000000001	
0,06	0,2	0,001	7000	0,1	0,6040000000000001	
0,07	0,2	0,001	3500	0,1	0,6040000000000001	
0,07	0,2	0,001	7000	0,1	0,6040000000000001	
0,08	0,2	0,001	3500	0,1	0,6040000000000001	
0,08	0,2	0,001	7000	0,1	0,6040000000000001	
0,09	0,2	0,001	3500	0,1	0,6040000000000001	
0,09	0,2	0,001	7000	0,1	0,6040000000000001	
0,01	0,30000000000000004	0,001	3500	0,1	0,9060000000000001	
0,01	0,30000000000000004	0,001	7000	0,1	0,9060000000000001	
0,02	0,30000000000000004	0,001	3500	0,1	0,9060000000000001	
0,02	0,30000000000000004	0,001	7000	0,1	0,9060000000000001	
0,03	0,30000000000000004	0,001	3500	0,1	0,9060000000000001	
0,03	0,30000000000000004	0,001	7000	0,1	0,9060000000000001	
0,04	0,30000000000000004	0,001	3500	0,1	0,9060000000000001	
0,04	0,30000000000000004	0,001	7000	0,1	0,9060000000000001	
0,05	0,30000000000000004	0,001	3500	0,1	0,9060000000000001	
0,05	0,30000000000000004	0,001	7000	0,1	0,9060000000000001	
0,06	0,30000000000000004	0,001	3500	0,1	0,9060000000000001	
0,06	0,30000000000000004	0,001	7000	0,1	0,9060000000000001	
0,07	0,30000000000000004	0,001	3500	0,1	0,9060000000000001	
0,07	0,30000000000000004	0,001	7000	0,1	0,9060000000000001	
0,08	0,30000000000000004	0,001	3500	0,1	0,9060000000000001	
0,08	0,30000000000000004	0,001	7000	0,1	0,9060000000000001	
0,09	0,30000000000000004	0,001	3500	0,1	0,9060000000000001	
0,09	0,30000000000000004	0,001	7000	0,1	0,9060000000000001	
0,01	0,4	0,001	3500	0,1	1,044	
0,01	0,4	0,001	7000	0,1	1,044	
0,02	0,4	0,001	3500	0,1	1,044	
0,02	0,4	0,001	7000	0,1	1,044	
0,03	0,4	0,001	3500	0,1	1,044	
0,03	0,4	0,001	7000	0,1	1,044	
0,04	0,4	0,001	3500	0,1	1,044	
0,04	0,4	0,001	7000	0,1	1,044	
0,05	0,4	0,001	3500	0,1	1,044	
0,05	0,4	0,001	7000	0,1	1,044	
0,06	0,4	0,001	3500	0,1	1,044	
0,06	0,4	0,001	7000	0,1	1,044	
0,07	0,4	0,001	3500	0,1	1,044	
0,07	0,4	0,001	7000	0,1	1,044	
0,08	0,4	0,001	3500	0,1	1,044	
0,08	0,4	0,001	7000	0,1	1,044	
0,09	0,4	0,001	3500	0,1	1,044	
0,09	0,4	0,001	7000	0,1	1,044	
0,01	0,5	0,001	3500	0,1	1,305	
0,01	0,5	0,001	7000	0,1	1,305	
0,02	0,5	0,001	3500	0,1	1,305	
0,02	0,5	0,001	7000	0,1	1,305	
0,03	0,5	0,001	3500	0,1	1,305	
0,03	0,5	0,001	7000	0,1	1,305	
0,04	0,5	0,001	3500	0,1	1,305	
0,04	0,5	0,001	7000	0,1	1,305	
0,05	0,5	0,001	3500	0,1	1,305	
0,05	0,5	0,001	7000	0,1	1,305	
0,06	0,5	0,001	3500	0,1	1,305	
0,06	0,5	0,001	7000	0,1	1,305	
0,07	0,5	0,001	3500	0,1	1,305	
0,07	0,5	0,001	7000	0,1	1,305	
